match type,Day,Date,Time,Home,xg_home,Score,xg_away,Away,Attendance,Venue,Referee,Match Report,Match URL,Match ID
Regular Season,Sat,5/4/19,19:00,Courage,1.9,0–0,0.9,Sky Blue FC,"5,039",Sahlen's Stadium at WakeMed Soccer Park,Karen Abt,Match Report,https://fbref.com/en/matches/5394bc1b/North-Carolina-Courage-Sky-Blue-FC-May-4-2019-NWSL,5394bc1b
Regular Season,Fri,5/3/19,19:30 (21:30),Royals,0.8,1–0,0.8,Red Stars,"16,556",Rio Tinto Stadium,Farhad Dadkho,Match Report,https://fbref.com/en/matches/efddeda8/Utah-Royals-FC-Chicago-Red-Stars-May-3-2019-NWSL,efddeda8
Regular Season,Sun,5/5/19,17:00 (18:00),Dash,1.3,1–0,0.6,Pride,"4,173",BBVA Compass Stadium,Victor Rivas,Match Report,https://fbref.com/en/matches/36c46e0d/Houston-Dash-Orlando-Pride-May-5-2019-NWSL,36c46e0d
Regular Season,Sat,5/11/19,13:30 (15:30),Royals,0.6,1–2,0.6,Dash,"10,138",Rio Tinto Stadium,Natalie Simon,Match Report,https://fbref.com/en/matches/d53451cf/Utah-Royals-FC-Houston-Dash-May-11-2019-NWSL,d53451cf
Regular Season,Sat,5/11/19,15:00,Sky Blue FC,1.4,2–3,1.8,Spirit,"1,330",The Soccer/Lacrosse Stadium at Yurcak Fi...,Tori Penso,Match Report,https://fbref.com/en/matches/86b6cc0a/Sky-Blue-FC-Washington-Spirit-May-11-2019-NWSL,86b6cc0a
Regular Season,Sat,5/11/19,19:30,Pride,1,1–3,2.1,Thorns,"4,369",Orlando City Stadium,Marie-Soleil Beaudoin,Match Report,https://fbref.com/en/matches/9a2b26a1/Orlando-Pride-Portland-Thorns-FC-May-11-2019-NWSL,9a2b26a1
Regular Season,Sun,5/12/19,17:00 (18:00),Red Stars,1.9,3–1,2.1,Courage,"2,113",SeatGeek Stadium,Greg Dopka,Match Report,https://fbref.com/en/matches/23114faa/Chicago-Red-Stars-North-Carolina-Courage-May-12-2019-NWSL,23114faa
Regular Season,Sat,5/18/19,13:00 (16:00),Reign,2.5,2–1,1.5,Sky Blue FC,"3,036",Cheney Stadium,Natalie Simon,Match Report,https://fbref.com/en/matches/37be7787/Reign-FC-Sky-Blue-FC-May-18-2019-NWSL,37be7787
Regular Season,Sat,5/18/19,19:00,Spirit,1.2,3–1,1.6,Thorns,"3,049",Maureen Hendricks Field Maryland SoccerP...,Robinson Khongsai,Match Report,https://fbref.com/en/matches/d26ed7f0/Washington-Spirit-Portland-Thorns-FC-May-18-2019-NWSL,d26ed7f0
Regular Season,Sun,5/19/19,17:00,Courage,1.8,1–1,0.3,Royals,"4,821",Sahlen's Stadium at WakeMed Soccer Park,Carol-Anne Chenard,Match Report,https://fbref.com/en/matches/7f398f88/North-Carolina-Courage-Utah-Royals-FC-May-19-2019-NWSL,7f398f88
Regular Season,Sun,5/19/19,17:00 (18:00),Dash,0.5,1–2,2.5,Red Stars,"3,690",BBVA Compass Stadium,Katja Koroleva,Match Report,https://fbref.com/en/matches/cc8ebaaa/Houston-Dash-Chicago-Red-Stars-May-19-2019-NWSL,cc8ebaaa
Regular Season,Sat,5/25/19,18:00,Sky Blue FC,0.5,0–1,2.2,Thorns,"1,472",The Soccer/Lacrosse Stadium at Yurcak Fi...,Jasmine Peralta,Match Report,https://fbref.com/en/matches/0f1cb3d1/Sky-Blue-FC-Portland-Thorns-FC-May-25-2019-NWSL,0f1cb3d1
Regular Season,Sun,5/26/19,17:00 (18:00),Red Stars,1.4,0–2,0.7,Spirit,"3,447",SeatGeek Stadium,Lukasz Szpala,Match Report,https://fbref.com/en/matches/4120af97/Chicago-Red-Stars-Washington-Spirit-May-26-2019-NWSL,4120af97
Regular Season,Sat,5/25/19,18:00 (20:00),Royals,3.2,2–0,1.1,Pride,"7,345",Rio Tinto Stadium,Karen Abt,Match Report,https://fbref.com/en/matches/c79ee9c4/Utah-Royals-FC-Orlando-Pride-May-25-2019-NWSL,c79ee9c4
